Dimensionless time,Outlet dimensionless concentration 1,Outlet dimensionless concentration 2
217.22500000000002,0.14414445677048243,0.85
217.25,0.14416631885167014,0.85
217.275,0.1441881044189603,0.85
217.3,0.1442098137079705,0.85
217.32500000000002,0.144231446953809,0.85
217.35000000000002,0.14425300439107394,0.85
217.375,0.14427448625385322,0.85
217.4,0.1442958927757238,0.85
217.425,0.14431722418975143,0.85
217.45000000000002,0.14433848072849018,0.85
217.47500000000002,0.14435966262398203,0.85
217.5,0.14438077010775652,0.85
217.525,0.1444018034108304,0.85
217.55,0.1444227627637072,0.85
217.57500000000002,0.14444364839637694,0.85
217.60000000000002,0.14446446053831585,0.85
217.625,0.14448519941848598,0.85
217.65,0.14450586526533488,0.85
217.675,0.14452645830679542,0.85
217.70000000000002,0.1445469787702854,0.85
217.72500000000002,0.14456742688270743,0.85
217.75,0.14458780287044853,0.85
217.775,0.14460810695937998,0.85
217.8,0.1446283393748571,0.85
217.82500000000002,0.14464850034171906,0.85
217.85000000000002,0.14466859008428856,0.85
217.875,0.14468860882637183,0.85
217.9,0.14470855679125835,0.85
217.925,0.14472843420172068,0.85
217.95000000000002,0.1447482412800144,0.85
217.97500000000002,0.14476797824787788,0.85
218.0,0.1447876453265322,0.85
218.025,0.14480724273668114,0.85
218.05,0.14482677069851085,0.85
218.07500000000002,0.14484622943169004,0.85
218.10000000000002,0.14486561915536966,0.85
218.125,0.14488494008818303,0.85
218.15,0.14490419244824568,0.85
218.175,0.1449233764531553,0.85
218.20000000000002,0.14494249231999187,0.85
218.22500000000002,0.14496154026531743,0.85
218.25,0.1449805205051762,0.85
218.275,0.1449994332550946,0.85
218.3,0.1450182787300812,0.85
218.32500000000002,0.14503705714462675,0.85
218.35000000000002,0.1450557687127043,0.85
218.375,0.14507441364776924,0.85
218.4,0.1450929921627592,0.85
218.425,0.14511150447009435,0.85
218.45000000000002,0.14512995078167734,0.85
218.47500000000002,0.1451483313088934,0.85
218.5,0.14516664626261053,0.85
218.525,0.1451848958531795,0.85
218.55,0.1452030802904341,0.85
218.57500000000002,0.14522119978369114,0.85
218.60000000000002,0.14523925454175066,0.85
218.625,0.1452572447728961,0.85
218.65,0.14527517068489443,0.85
218.675,0.14529303248499637,0.85
218.70000000000002,0.1453108303799365,0.85
218.72500000000002,0.14532856457593352,0.85
218.75,0.14534623527869037,0.85
218.775,0.14536384269339456,0.85
218.8,0.1453813870247183,0.85
218.82500000000002,0.14539886847681877,0.85
218.85000000000002,0.1454162872533383,0.85
218.875,0.1454336435574047,0.85
218.9,0.14545093759163147,0.85
218.925,0.14546816955811806,0.85
218.95000000000002,0.14548533965845017,0.85
218.97500000000002,0.14550244809370005,0.85
219.0,0.14551949506442674,0.85
219.025,0.14553648077067635,0.85
219.05,0.1455534054119825,0.85
219.07500000000002,0.1455702691873665,0.85
219.10000000000002,0.14558707229533777,0.85
219.125,0.14560381493389407,0.85
219.15,0.14562049730052196,0.85
219.175,0.14563711959219705,0.85
219.20000000000002,0.14565368200538448,0.85
219.22500000000002,0.14567018473603913,0.85
219.25,0.14568662797960613,0.85
219.275,0.14570301193102117,0.85
219.3,0.1457193367847109,0.85
219.32500000000002,0.14573560273459338,0.85
219.35000000000002,0.14575180997407838,0.85
219.375,0.1457679586960679,0.85
219.4,0.14578404909295653,0.85
219.425,0.14580008135663192,0.85
219.45000000000002,0.14581605567847514,0.85
219.47500000000002,0.14583197224936123,0.85
219.5,0.14584783125965955,0.85
219.525,0.1458636328992343,0.85
219.55,0.14587937735744494,0.85
219.57500000000002,0.1458950648231467,0.85
219.60000000000002,0.14591069548469107,0.85
219.625,0.14592626952992618,0.85
219.65,0.14594178714619743,0.85
219.675,0.14595724852034792,0.85
219.70000000000002,0.14597265383871894,0.85
219.72500000000002,0.14598800328715048,0.85
219.75,0.1460032970509818,0.85
219.775,0.14601853531505193,0.85
219.8,0.14603371826370018,0.85
219.82500000000002,0.14604884608076668,0.85
219.85000000000002,0.14606391894959292,0.85
219.875,0.14607893705302233,0.85
219.9,0.14609390057340083,0.85
219.925,0.14610880969257733,0.85
